,Rank,Name,Skill Score,Expected Possible Players Remaining
1206,1,Randy Arozarena,99.9,0.0
898,2,Daniel Johnson,0.0,1.0
897,2,Nathaniel Lowe,0.0,1.0
896,2,Nathan Eovaldi,0.0,1.0
895,2,Jake Fraley,0.0,1.0
894,2,Dominic Smith,0.0,1.0
893,2,Hunter Strickland,0.0,1.0
892,2,Rowdy Tellez,0.0,1.0
891,2,Kyle Hendricks,0.0,1.0
0,2,Ryan Zeferjahn,0.0,1.0
890,2,Chase Meidroth,0.0,1.0
889,2,Ryan McMahon,0.0,1.0
888,2,Carson Kelly,0.0,1.0
887,2,Drake Baldwin,0.0,1.0
886,2,Drew Pomeranz,0.0,1.0
885,2,Jordan Beck,0.0,1.0
884,2,Ryan Pressly,0.0,1.0
883,2,Ben Williamson,0.0,1.0
899,2,Kevin Gausman,0.0,1.0
882,2,Wade Meckler,0.0,1.0
900,2,Zach Neto,0.0,1.0
902,2,Tyler Wade,0.0,1.0
919,2,Joe Jiménez,0.0,1.0
918,2,Cody Bellinger,0.0,1.0
917,2,Kevin Newman,0.0,1.0
916,2,Jesús Luzardo,0.0,1.0
915,2,Danny Coulombe,0.0,1.0
914,2,Dansby Swanson,0.0,1.0
913,2,Brent Suter,0.0,1.0
912,2,Scott Kingery,0.0,1.0
911,2,Yainer Diaz,0.0,1.0
910,2,Shinnosuke Ogasawara,0.0,1.0
909,2,Frankie Montas,0.0,1.0
908,2,Dalton Rushing,0.0,1.0
907,2,Seth Lugo,0.0,1.0
906,2,Nestor Cortes,0.0,1.0
905,2,Trenton Brooks,0.0,1.0
904,2,Justin Lawrence,0.0,1.0
903,2,Cedric Mullins,0.0,1.0
901,2,Ryan Ritter,0.0,1.0
881,2,Sonny Gray,0.0,1.0
880,2,Marco Raya,0.0,1.0
879,2,Ryan Noda,0.0,1.0
857,2,Reese McGuire,0.0,1.0
856,2,Vaughn Grissom,0.0,1.0
855,2,Zach McKinstry,0.0,1.0
854,2,TJ Friedl,0.0,1.0
853,2,Jake Bauers,0.0,1.0
852,2,Ranger Suárez,0.0,1.0
851,2,Reynaldo López,0.0,1.0
850,2,Gavin Sheets,0.0,1.0
849,2,Troy Johnston,0.0,1.0
848,2,Pavin Smith,0.0,1.0
847,2,Dom Nuñez,0.0,1.0
846,2,José Alvarado,0.0,1.0
845,2,Kevin Herget,0.0,1.0
844,2,Andrew Chafin,0.0,1.0
843,2,Anthony DeSclafani,0.0,1.0
842,2,Nick Anderson,0.0,1.0
841,2,Hoby Milner,0.0,1.0
858,2,Carlos Estévez,0.0,1.0
920,2,Eli White,0.0,1.0
859,2,Rece Hinds,0.0,1.0
861,2,Chase Petty,0.0,1.0
878,2,Cody Freeman,0.0,1.0
877,2,Colin Rea,0.0,1.0
876,2,Nick Martinez,0.0,1.0
875,2,J.C. Escarra,0.0,1.0
874,2,Pablo López,0.0,1.0
873,2,Matt Thaiss,0.0,1.0
872,2,Matthew Boyd,0.0,1.0
871,2,Tyler Locklear,0.0,1.0
870,2,Anthony Volpe,0.0,1.0
869,2,Andrew Heaney,0.0,1.0
868,2,Daulton Varsho,0.0,1.0
867,2,J.P. Crawford,0.0,1.0
866,2,Luke Raley,0.0,1.0
865,2,AJ Smith-Shawver,0.0,1.0
864,2,Eric Cerantola,0.0,1.0
863,2,Tink Hence,0.0,1.0
862,2,Colby Thomas,0.0,1.0
860,2,José Fermin,0.0,1.0
840,2,Chad Green,0.0,1.0
921,2,Drew Millas,0.0,1.0
923,2,Jonathan Loáisiga,0.0,1.0
982,2,Michael Toglia,0.0,1.0
981,2,Connor Joe,0.0,1.0
980,2,Drew Waters,0.0,1.0
979,2,Josh Rojas,0.0,1.0
978,2,Ryan Fitzgerald,0.0,1.0
977,2,Cal Raleigh,0.0,1.0
976,2,Logan Davidson,0.0,1.0
975,2,Zack Wheeler,0.0,1.0
974,2,Wander Suero,0.0,1.0
973,2,Austin Hedges,0.0,1.0
972,2,Dylan Carlson,0.0,1.0
971,2,Nick Sogard,0.0,1.0
970,2,Victor Robles,0.0,1.0
969,2,Tyler Anderson,0.0,1.0
968,2,Esteury Ruiz,0.0,1.0
967,2,Matt Chapman,0.0,1.0
966,2,Christopher Morel,0.0,1.0
983,2,Dylan Moore,0.0,1.0
965,2,Caden Dana,0.0,1.0
984,2,Trevor Story,0.0,1.0
986,2,Mookie Betts,0.0,1.0
1003,2,Andrew Benintendi,0.0,1.0
1002,2,LaMonte Wade Jr.,0.0,1.0
1001,2,Trea Turner,0.0,1.0
1000,2,Chris Martin,0.0,1.0
999,2,Edwin Díaz,0.0,1.0
998,2,Isaac Collins,0.0,1.0
997,2,William Contreras,0.0,1.0
996,2,Ronald Acuña Jr.,0.0,1.0
995,2,Austin Slater,0.0,1.0
994,2,Pedro Pagés,0.0,1.0
993,2,Caleb Thielbar,0.0,1.0
992,2,Heriberto Hernandez,0.0,1.0
991,2,Rhys Hoskins,0.0,1.0
990,2,Blake Perkins,0.0,1.0
989,2,Carlos Narváez,0.0,1.0
988,2,Bryan De La Cruz,0.0,1.0
987,2,Yennier Cano,0.0,1.0
985,2,Corey Seager,0.0,1.0
922,2,Edgardo Henriquez,0.0,1.0
964,2,Grant McCray,0.0,1.0
962,2,Ty France,0.0,1.0
940,2,Jeremy Peña,0.0,1.0
939,2,Jace Jung,0.0,1.0
938,2,Merrill Kelly,0.0,1.0
937,2,Miles Mikolas,0.0,1.0
936,2,Michael Arias,0.0,1.0
935,2,Chris Bassitt,0.0,1.0
934,2,Taylor Ward,0.0,1.0
933,2,Wikelman González,0.0,1.0
932,2,Carlos Cortes,0.0,1.0
931,2,Jerar Encarnacion,0.0,1.0
930,2,Chandler Simpson,0.0,1.0
