Name,possible_num_remaining_players
Aaron Judge,[ 0 18 61 ... 47 47 43]
Aaron Bummer,[47  0 15 ... 31 31 54]
Aaron Nola,[47  7  0 ... 19 47 66]
Aaron Civale,[114  19  18 ...  11  19  35]
Aaron Ashby,[60 16 73 ... 27 20 39]
Andrew Abbott,[86 32 39 ... 11 35 32]
Mick Abel,[162  38  43 ...   4  38  14]
Abner Uribe,[ 89  26 126 ...  28  33  42]
CJ Abrams,[186  20  54 ...   6  68   4]
Abraham Toro,[ 53  53 260 ...  41   8 162]
Bryan Abreu,[126  13  80 ...  30   7  50]
Wilyer Abreu,[  3  46 199 ...  26  26  31]
Maximo Acosta,[305  27  88 ...   9  96  11]
Ronald Acuña Jr.,[12  4 41 ... 44 46 42]
Luisangel Acuña,[273  22  71 ...  18  86  26]
Adam Frazier,[ 5 15 37 ... 46 46 30]
Willy Adames,[120  52 192 ...  18   9   5]
Jason Adam,[ 4 14 37 ... 13 13 16]
Riley Adams,[134  17  32 ...  48  39  42]
Jordyn Adams,[ 52  47 151 ...  20   3   2]
Adael Amador,[261 116 335 ...   3  34  12]
Adam Mazur,[137  13  15 ...   3  48   4]
Travis Adams,[98 15 60 ... 14 21 20]
Adam Macko,[69 62 62 ...  3 37  3]
Ty Adcock,[85  2 22 ... 23  6 36]
Addison Barger,[ 50  50 158 ...  22  40  19]
Jo Adell,[136  25  87 ...  43   5   5]
Adley Rutschman,[ 47  50 157 ...  38  27  95]
Adolis García,[ 6 19 12 ... 70 70 96]
Zach Agnos,[ 82  35 105 ...   3  13   2]
Agustín Ramírez,[243  24  75 ...  18  87  26]
Julian Aguiar,[109  58  53 ...   3  58   6]
AJ Blubaugh,[109  25  23 ...   8  39  41]
AJ Smith-Shawver,[176   5  19 ...   3  62   9]
Keegan Akin,[25 16 60 ... 21 13 29]
Alan Roden,[167  33 101 ...  21  33  19]
Alan Rangel,[133   7   9 ...  30  26  46]
Ozzie Albies,[230   5  59 ...  60  15 230]
Albert Suárez,[  6  38 226 ...  39  39  65]
Jorge Alcala,[33 18 67 ... 25 15 42]
Sandy Alcantara,[137  13  18 ...  21  29  53]
Kevin Alcántara,[ 10  85 263 ...  15  85  27]
Sam Aldegheri,[211  30 131 ...  15  43  24]
Alec Bohm,[123  13   8 ...  41  13  42]
Alejandro Kirk,[ 61  52 193 ...  29  29  42]
Alek Thomas,[114  48 160 ...   4   1   1]
Alec Burleson,[106  41 132 ...  45  45  37]
Alex Call,[ 7 26 87 ... 10 12 13]
Alex Vesia,[ 69  24 120 ...   9   5   6]
Alex Cobb,[192  44  53 ...  16  44  46]
Alex Jackson,[ 27  53 155 ...  36  25  26]
Alexis Díaz,[ 90  21 155 ...  13   1  13]
Alex Lange,[101  27  29 ...  13  27  30]
Tyler Alexander,[37  6 30 ... 22 22 35]
Blaze Alexander,[100  46 134 ...   8   8  11]
Alexander Canario,[140  54 191 ...  40  54  44]
Alek Manoah,[23 35 36 ... 14 20 20]
Alex Faedo,[19 45 55 ... 15 20 24]
Alejandro Osuna,[360  63 229 ...   6  88  14]
Alec Marsh,[106  22  21 ...  11  14  28]
Alek Jacob,[52 23 99 ... 11  5  7]
Jason Alexander,[46 14  4 ... 20 47 72]
Alex Freeland,[196 100 240 ...   6  22  17]
Franco Aleman,[175  31  38 ...   9  31  29]
Alex Carrillo,[85  2 22 ... 23  6 36]
Ali Sánchez,[ 41  45 200 ...  36   7  37]
Nick Allen,[134   3  35 ...  41  41  49]
Kolby Allard,[99 12 54 ... 21 13 21]
Logan Allen,[112  22  21 ...   6  20  21]
Allan Winans,[  8  28 113 ...  24  12  25]
Pete Alonso,[154   5  20 ...  50  32  61]
Jose Altuve,[ 33  62 218 ...  85  85 104]
Dan Altavilla,[33  8  8 ... 26 26 37]
Yordan Alvarez,[207  29 137 ...  43  14  41]
José Alvarado,[169   6   8 ...  28  21  60]
Francisco Alvarez,[263  22  71 ...  18  87  29]
Nacho Alvarez Jr.,[234   7  69 ...   7  89   9]
Elvis Alvarado,[119  15  80 ...  29  29  53]
Miguel Amaya,[147  55 185 ...  54  54  50]
Amed Rosario,[ 10  58 197 ...  41  26  39]
Andrew Benintendi,[68  7 49 ... 34 34 31]
Andrés Giménez,[ 62  49 199 ...  28  28  31]
Andrew Vaughn,[ 91  41 118 ...  41  30  40]
Andrew Chafin,[ 16  24 112 ...  51  51  86]
Miguel Andujar,[135  36 100 ...  58  36  67]
Andy Ibáñez,[79 18 15 ... 52 52 53]
Andrew Knizner,[101  26  82 ...  10  14   3]
Andrew Kittredge,[ 12  39 161 ...  51  51  76]
Andy Pages,[172  78 232 ...   6   2   1]
Tyler Anderson,[21 42 47 ... 26 58 73]
Andrew Heaney,[19 63  9 ... 20 63 56]
Andrés Muñoz,[130  16  94 ...  29  29  54]
Andruw Monasterio,[133  49 177 ...  49  11  53]
Nick Anderson,[ 12  32 166 ...  15  15  18]
Andre Pallante,[80 32 39 ... 11 35 37]
Andrew Nardi,[108  10  12 ...  13  28  38]
Grant Anderson,[67 14 80 ... 28  5 43]
Andrés Chaparro,[182  15  59 ...  44  44  58]
Andrew Saalfrank,[52 23 99 ...  2  4 10]
Andrew Walters,[112  23  69 ...   6  23   6]
Andre Granillo,[68 24 93 ... 23 28 35]
Angel Martínez,[314  64 217 ...  11   4   3]
Angel Zerpa,[150  18  90 ...  17  24  19]
Angel Chivilli,[117  41 159 ...   5  14   7]
Angel Bastardo,[66 65 75 ...  4 44 18]
Jonathan Aranda,[ 59  47 217 ...  37  25  23]
Orlando Arcia,[143  31 113 ...  14  15  20]
Nolan Arenado,[24 84 34 ... 84 84 73]
Gabriel Arias,[212  42 125 ...  30  42  27]
Michael Arias,[15 66 65 ...  4 42 16]
Shawn Armstrong,[20 25 14 ... 46 46 85]
Aroldis Chapman,[ 69  45 284 ...  39  39  52]
Randy Arozarena,[243  20  78 ...  54  36  79]
Luis Arraez,[125  45 213 ...  18   3  11]
Spencer Arrighetti,[109  25  23 ...   8  39  41]
Graham Ashcraft,[64 16 80 ... 27 19 32]
Braxton Ashcraft,[74 24 98 ... 22 28 27]
Javier Assad,[110  36  63 ...  18   9  61]
Austin Riley,[123   4  24 ...  41  13  42]
Austin Slater,[ 9 23 17 ... 41 41 41]
Austin Hays,[102  33  84 ...  49  33  55]
