Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div
Aaron Judge,NYY,AL East,R,R,USA,33,RF,AL,East
Aaron Bummer,ATL,NL East,L,L,USA,31,RP,NL,East
Aaron Nola,PHI,NL East,R,R,USA,32,SP,NL,East
Aaron Civale,CWS,AL Central,R,R,USA,30,SP,AL,Central
Aaron Ashby,MIL,NL Central,R,L,USA,27,RP,NL,Central
Andrew Abbott,CIN,NL Central,L,L,USA,26,SP,NL,Central
Mick Abel,MIN,AL Central,R,R,USA,23,SP,AL,Central
Abner Uribe,MIL,NL Central,R,R,DOM,25,RP,NL,Central
CJ Abrams,WSH,NL East,L,R,USA,24,SS,NL,East
Abraham Toro,BOS,AL East,S,R,CAN,28,1B,AL,East
Bryan Abreu,HOU,AL West,R,R,DOM,28,RP,AL,West
Wilyer Abreu,BOS,AL East,L,L,VEN,26,RF,AL,East
Maximo Acosta,MIA,NL East,R,R,VEN,22,SS,NL,East
Ronald Acuña Jr.,ATL,NL East,R,R,VEN,27,RF,NL,East
Luisangel Acuña,NYM,NL East,R,R,VEN,23,2B,NL,East
Adam Frazier,KC,AL Central,L,R,USA,33,2B,AL,Central
Willy Adames,SF,NL West,R,R,DOM,29,SS,NL,West
Jason Adam,SD,NL West,R,R,USA,33,RP,NL,West
Riley Adams,WSH,NL East,R,R,USA,29,C,NL,East
Jordyn Adams,BAL,AL East,R,R,USA,25,CF,AL,East
Adael Amador,COL,NL West,S,R,DOM,22,2B,NL,West
Adam Mazur,MIA,NL East,R,R,USA,24,SP,NL,East
Travis Adams,MIN,AL Central,R,R,USA,25,RP,AL,Central
Adam Macko,TOR,AL East,L,L,Slovakia,24,SP,AL,East
Ty Adcock,NYM,NL East,R,R,USA,28,RP,NL,East
Addison Barger,TOR,AL East,L,R,USA,25,3B,AL,East
Jo Adell,LAA,AL West,R,R,USA,26,CF,AL,West
Adley Rutschman,BAL,AL East,S,R,USA,27,C,AL,East
Adolis García,TEX,AL West,R,R,CUB,32,RF,AL,West
Zach Agnos,COL,NL West,R,R,USA,24,RP,NL,West
Agustín Ramírez,MIA,NL East,R,R,DOM,23,C,NL,East
Julian Aguiar,CIN,NL Central,L,R,USA,24,SP,NL,Central
AJ Blubaugh,HOU,AL West,R,R,USA,25,SP,AL,West
AJ Smith-Shawver,ATL,NL East,R,R,USA,22,SP,NL,East
Keegan Akin,BAL,AL East,L,L,USA,30,RP,AL,East
Alan Roden,MIN,AL Central,L,R,USA,25,LF,AL,Central
Alan Rangel,PHI,NL East,R,R,MEX,27,RP,NL,East
Ozzie Albies,ATL,NL East,S,R,CUW,28,2B,NL,East
Albert Suárez,BAL,AL East,R,R,VEN,35,RP,AL,East
Jorge Alcala,BOS,AL East,R,R,DOM,30,RP,AL,East
Sandy Alcantara,MIA,NL East,R,R,DOM,29,SP,NL,East
Kevin Alcántara,CHC,NL Central,R,R,DOM,23,RF,NL,Central
Sam Aldegheri,LAA,AL West,L,L,Italy,23,RP,AL,West
Alec Bohm,PHI,NL East,R,R,USA,28,3B,NL,East
Alejandro Kirk,TOR,AL East,R,R,MEX,26,C,AL,East
Alek Thomas,AZ,NL West,L,L,USA,25,CF,NL,West
Alec Burleson,STL,NL Central,L,L,USA,26,1B,NL,Central
Alex Call,LAD,NL West,R,R,USA,30,RF,NL,West
Alex Vesia,LAD,NL West,L,L,USA,29,RP,NL,West
Alex Cobb,DET,AL Central,R,R,USA,37,SP,AL,Central
Alex Jackson,BAL,AL East,R,R,USA,29,C,AL,East
Alexis Díaz,LAD,NL West,R,R,PRI,28,RP,NL,West
Alex Lange,DET,AL Central,R,R,USA,29,SP,AL,Central
Tyler Alexander,CWS,AL Central,R,L,USA,31,RP,AL,Central
Blaze Alexander,AZ,NL West,R,R,USA,26,SS,NL,West
Alexander Canario,PIT,NL Central,R,R,DOM,25,LF,NL,Central
Alek Manoah,TOR,AL East,R,R,USA,27,SP,AL,East
Alex Faedo,TB,AL East,R,R,USA,29,SP,AL,East
Alejandro Osuna,TEX,AL West,L,L,MEX,22,LF,AL,West
Alec Marsh,KC,AL Central,R,R,USA,27,SP,AL,Central
Alek Jacob,SD,NL West,L,R,USA,27,RP,NL,West
Jason Alexander,HOU,AL West,R,R,USA,32,SP,AL,West
Alex Freeland,LAD,NL West,S,R,USA,23,SS,NL,West
Franco Aleman,CLE,AL Central,R,R,CUB,25,SP,AL,Central
Alex Carrillo,NYM,NL East,R,R,USA,28,RP,NL,East
Ali Sánchez,TOR,AL East,R,R,VEN,28,C,AL,East
Nick Allen,ATL,NL East,R,R,USA,26,SS,NL,East
Kolby Allard,CLE,AL Central,L,L,USA,27,RP,AL,Central
Logan Allen,CLE,AL Central,R,L,USA,26,SP,AL,Central
Allan Winans,NYY,AL East,R,R,USA,29,RP,AL,East
Pete Alonso,NYM,NL East,R,R,USA,30,1B,NL,East
Jose Altuve,HOU,AL West,R,R,VEN,35,LF,AL,West
Dan Altavilla,CWS,AL Central,R,R,USA,32,RP,AL,Central
Yordan Alvarez,HOU,AL West,L,R,CUB,28,LF,AL,West
José Alvarado,PHI,NL East,L,L,VEN,30,RP,NL,East
Francisco Alvarez,NYM,NL East,R,R,VEN,23,C,NL,East
Nacho Alvarez Jr.,ATL,NL East,R,R,USA,22,SS,NL,East
Elvis Alvarado,ATH,AL West,R,R,DOM,26,RP,AL,West
Miguel Amaya,CHC,NL Central,R,R,PAN,26,C,NL,Central
Amed Rosario,NYY,AL East,R,R,DOM,29,3B,AL,East
Andrew Benintendi,CWS,AL Central,L,L,USA,31,LF,AL,Central
Andrés Giménez,TOR,AL East,L,R,VEN,26,2B,AL,East
Andrew Vaughn,MIL,NL Central,R,R,USA,27,1B,NL,Central
Andrew Chafin,LAA,AL West,R,L,USA,35,RP,AL,West
Miguel Andujar,CIN,NL Central,R,R,DOM,30,LF,NL,Central
Andy Ibáñez,DET,AL Central,R,R,CUB,32,3B,AL,Central
Andrew Knizner,SF,NL West,R,R,USA,30,C,NL,West
Andrew Kittredge,CHC,NL Central,R,R,USA,35,RP,NL,Central
Andy Pages,LAD,NL West,R,R,CUB,24,CF,NL,West
Tyler Anderson,LAA,AL West,L,L,USA,35,SP,AL,West
Andrew Heaney,PIT,NL Central,L,L,USA,34,SP,NL,Central
Andrés Muñoz,SEA,AL West,R,R,MEX,26,RP,AL,West
Andruw Monasterio,MIL,NL Central,R,R,VEN,28,SS,NL,Central
Nick Anderson,COL,NL West,R,R,USA,35,RP,NL,West
Andre Pallante,STL,NL Central,R,R,USA,26,SP,NL,Central
Andrew Nardi,MIA,NL East,L,L,USA,26,SP,NL,East
Grant Anderson,MIL,NL Central,R,R,USA,28,RP,NL,Central
Andrés Chaparro,WSH,NL East,R,R,VEN,26,1B,NL,East
Andrew Saalfrank,AZ,NL West,L,L,USA,27,RP,NL,West
Andrew Walters,CLE,AL Central,R,R,USA,24,RP,AL,Central
Andre Granillo,STL,NL Central,R,R,USA,25,RP,NL,Central
Angel Martínez,CLE,AL Central,S,R,DOM,23,CF,AL,Central
Angel Zerpa,KC,AL Central,L,L,VEN,25,RP,AL,Central
Angel Chivilli,COL,NL West,R,R,DOM,23,RP,NL,West
Angel Bastardo,TOR,AL East,R,R,VEN,23,SP,AL,East
Jonathan Aranda,TB,AL East,L,R,MEX,27,1B,AL,East
