Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Aaron Judge,NYY,AL East,R,R,USA,33,RF,AL,East,77.71343726800296
Aaron Bummer,ATL,NL East,L,L,USA,31,RP,NL,East,46.11284335560508
Aaron Nola,PHI,NL East,R,R,USA,32,SP,NL,East,47.4476614699332
Aaron Civale,CWS,AL Central,R,R,USA,30,SP,AL,Central,38.70378619153676
Aaron Ashby,MIL,NL Central,R,L,USA,27,RP,NL,Central,31.13882702301407
Andrew Abbott,CIN,NL Central,L,L,USA,26,SP,NL,Central,37.00519673348189
Mick Abel,MIN,AL Central,R,R,USA,23,SP,AL,Central,51.02152932442467
Abner Uribe,MIL,NL Central,R,R,DOM,25,RP,NL,Central,44.481069042316264
CJ Abrams,WSH,NL East,L,R,USA,24,SS,NL,East,67.55902004454347
Abraham Toro,BOS,AL East,S,R,CAN,28,1B,AL,East,117.89309576837418
Bryan Abreu,HOU,AL West,R,R,DOM,28,RP,AL,West,43.81885671863399
Wilyer Abreu,BOS,AL East,L,L,VEN,26,RF,AL,East,78.70230141054198
Maximo Acosta,MIA,NL East,R,R,VEN,22,SS,NL,East,135.03043801039357
Ronald Acuña Jr.,ATL,NL East,R,R,VEN,27,RF,NL,East,71.42093541202675
Luisangel Acuña,NYM,NL East,R,R,VEN,23,2B,NL,East,106.69042316258356
Adam Frazier,KC,AL Central,L,R,USA,33,2B,AL,Central,85.4595397178916
Willy Adames,SF,NL West,R,R,DOM,29,SS,NL,West,72.92947290274684
Jason Adam,SD,NL West,R,R,USA,33,RP,NL,West,50.59688195991093
Riley Adams,WSH,NL East,R,R,USA,29,C,NL,East,52.5003711952487
Jordyn Adams,BAL,AL East,R,R,USA,25,CF,AL,East,51.268002969562
Adael Amador,COL,NL West,S,R,DOM,22,2B,NL,West,163.23236822568677
Adam Mazur,MIA,NL East,R,R,USA,24,SP,NL,East,42.30734966592429
Travis Adams,MIN,AL Central,R,R,USA,25,RP,AL,Central,32.3192279138827
Adam Macko,TOR,AL East,L,L,Slovakia,24,SP,AL,East,77.90794357832223
Ty Adcock,NYM,NL East,R,R,USA,28,RP,NL,East,31.762435040831456
Addison Barger,TOR,AL East,L,R,USA,25,3B,AL,East,55.046770601336334
Jo Adell,LAA,AL West,R,R,USA,26,CF,AL,West,49.942093541202695
Adley Rutschman,BAL,AL East,S,R,USA,27,C,AL,East,65.66740905716416
Adolis García,TEX,AL West,R,R,CUB,32,RF,AL,West,116.65924276169262
Zach Agnos,COL,NL West,R,R,USA,24,RP,NL,West,38.23904974016334
Agustín Ramírez,MIA,NL East,R,R,DOM,23,C,NL,East,91.27691165553081
Julian Aguiar,CIN,NL Central,L,R,USA,24,SP,NL,Central,45.72086117297702
AJ Blubaugh,HOU,AL West,R,R,USA,25,SP,AL,West,35.07795100222718
AJ Smith-Shawver,ATL,NL East,R,R,USA,22,SP,NL,East,61.89012620638454
Keegan Akin,BAL,AL East,L,L,USA,30,RP,AL,East,41.221974758723135
Alan Roden,MIN,AL Central,L,R,USA,25,LF,AL,Central,57.63325909428364
Alan Rangel,PHI,NL East,R,R,MEX,27,RP,NL,East,52.26874536005945
Ozzie Albies,ATL,NL East,S,R,CUW,28,2B,NL,East,116.87899034892355
Albert Suárez,BAL,AL East,R,R,VEN,35,RP,AL,East,88.16481069042312
Jorge Alcala,BOS,AL East,R,R,DOM,30,RP,AL,East,52.04899777282852
Sandy Alcantara,MIA,NL East,R,R,DOM,29,SP,NL,East,50.34595397178918
Kevin Alcántara,CHC,NL Central,R,R,DOM,23,RF,NL,Central,100.07572383073496
Sam Aldegheri,LAA,AL West,L,L,Italy,23,RP,AL,West,80.3311061618412
Alec Bohm,PHI,NL East,R,R,USA,28,3B,NL,East,50.63400148478102
Alejandro Kirk,TOR,AL East,R,R,MEX,26,C,AL,East,79.94951744617669
Alek Thomas,AZ,NL West,L,L,USA,25,CF,NL,West,56.92353377876765
Alec Burleson,STL,NL Central,L,L,USA,26,1B,NL,Central,55.36599851521903
Alex Call,LAD,NL West,R,R,USA,30,RF,NL,West,57.279881217520426
Alex Vesia,LAD,NL West,L,L,USA,29,RP,NL,West,38.34149962880479
Alex Cobb,DET,AL Central,R,R,USA,37,SP,AL,Central,72.5850037119525
Alex Jackson,BAL,AL East,R,R,USA,29,C,AL,East,54.81959910913142
Alexis Díaz,LAD,NL West,R,R,PRI,28,RP,NL,West,53.58871566443951
Alex Lange,DET,AL Central,R,R,USA,29,SP,AL,Central,37.085374907201185
Tyler Alexander,CWS,AL Central,R,L,USA,31,RP,AL,Central,41.8990348923534
Blaze Alexander,AZ,NL West,R,R,USA,26,SS,NL,West,50.443949517446185
Alexander Canario,PIT,NL Central,R,R,DOM,25,LF,NL,Central,72.7260579064588
Alek Manoah,TOR,AL East,R,R,USA,27,SP,AL,East,33.279881217520426
Alex Faedo,TB,AL East,R,R,USA,29,SP,AL,East,37.9510022271715
Alejandro Osuna,TEX,AL West,L,L,MEX,22,LF,AL,West,162.4380103934671
Alec Marsh,KC,AL Central,R,R,USA,27,SP,AL,Central,33.80697847067559
Alek Jacob,SD,NL West,L,R,USA,27,RP,NL,West,34.17074981440242
Jason Alexander,HOU,AL West,R,R,USA,32,SP,AL,West,46.6280623608018
Alex Freeland,LAD,NL West,S,R,USA,23,SS,NL,West,102.78396436525615
Franco Aleman,CLE,AL Central,R,R,CUB,25,SP,AL,Central,59.45360059391242
Alex Carrillo,NYM,NL East,R,R,USA,28,RP,NL,East,31.762435040831456
Ali Sánchez,TOR,AL East,R,R,VEN,28,C,AL,East,75.04083147735713
Nick Allen,ATL,NL East,R,R,USA,26,SS,NL,East,50.09502598366742
Kolby Allard,CLE,AL Central,L,L,USA,27,RP,AL,Central,34.07275426874537
Logan Allen,CLE,AL Central,R,L,USA,26,SP,AL,Central,34.901262063845614
Allan Winans,NYY,AL East,R,R,USA,29,RP,AL,East,35.89903489235337
Pete Alonso,NYM,NL East,R,R,USA,30,1B,NL,East,58.267260579064576
Jose Altuve,HOU,AL West,R,R,VEN,35,LF,AL,West,139.5233853006682
Dan Altavilla,CWS,AL Central,R,R,USA,32,RP,AL,Central,45.23682256867116
