Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Ryan Zeferjahn,LAA,AL West,R,R,USA,27,RP,AL,West,30.622123236822542
Mitch Spence,ATH,AL West,R,R,USA,27,RP,AL,West,30.67706013363027
Anthony Maldonado,ATH,AL West,R,R,USA,27,RP,AL,West,30.67706013363027
Logan VanWey,HOU,AL West,R,R,USA,26,RP,AL,West,30.6889383815887
Jonathan Pintaro,NYM,NL East,R,R,USA,27,RP,NL,East,30.721603563474364
Nathan Wiles,ATL,NL East,R,R,USA,27,RP,NL,East,30.73199703043799
Kyle Nicolas,PIT,NL Central,R,R,USA,26,RP,NL,Central,30.764662212323653
Carmen Mlodzinski,PIT,NL Central,R,R,USA,26,RP,NL,Central,30.764662212323653
Matt Svanson,STL,NL Central,R,R,USA,26,RP,NL,Central,30.779510022271694
Beau Brieske,DET,AL Central,R,R,USA,27,RP,AL,Central,30.843355605048245
Brenan Hanifee,DET,AL Central,R,R,USA,27,RP,AL,Central,30.843355605048245
Tyler Phillips,MIA,NL East,R,R,USA,27,RP,NL,East,30.871566443949497
Mason Thompson,WSH,NL East,R,R,USA,27,RP,NL,East,30.893838158871546
Brett de Geus,PHI,NL East,R,R,USA,27,RP,NL,East,30.920564216778008
Freddy Tarnok,MIA,NL East,R,R,USA,26,RP,NL,East,30.98144023756495
Max Lazar,PHI,NL East,R,R,USA,26,RP,NL,East,30.99034892353377
Michael Mercado,PHI,NL East,R,R,USA,26,RP,NL,East,30.99034892353377
Seth Johnson,PHI,NL East,R,R,USA,26,RP,NL,East,30.99034892353377
Chase Lee,DET,AL Central,R,R,USA,26,RP,AL,Central,31.005196733481792
Gavin Hollowell,CHC,NL Central,R,R,USA,27,RP,NL,Central,31.024498886414243
Zach Brzykcy,WSH,NL East,R,R,USA,26,RP,NL,East,31.080920564216754
Ryan Loutos,WSH,NL East,R,R,USA,26,RP,NL,East,31.080920564216754
Clayton Beeter,WSH,NL East,R,R,USA,26,RP,NL,East,31.080920564216754
Cole Henry,WSH,NL East,R,R,USA,26,RP,NL,East,31.080920564216754
Jackson Rutledge,WSH,NL East,R,R,USA,26,RP,NL,East,31.080920564216754
Michael Darrell-Hicks,PIT,NL Central,R,R,USA,27,RP,NL,Central,31.08092056421676
Ryan Fernandez,STL,NL Central,R,R,USA,27,RP,NL,Central,31.094283593169994
Easton McGee,MIL,NL Central,R,R,USA,27,RP,NL,Central,31.12100965107645
Aaron Ashby,MIL,NL Central,R,L,USA,27,RP,NL,Central,31.13882702301407
Zak Kent,CLE,AL Central,R,R,USA,27,RP,AL,Central,31.16109873793613
Hunter Gaddis,CLE,AL Central,R,R,USA,27,RP,AL,Central,31.16109873793613
Jordan Leasure,CWS,AL Central,R,R,USA,26,RP,AL,Central,31.19673348181141
Josh Winckowski,BOS,AL East,R,R,USA,27,RP,AL,East,31.220489977728267
Justin Slaten,BOS,AL East,R,R,USA,27,RP,AL,East,31.220489977728267
Eric Orze,TB,AL East,R,R,USA,27,RP,AL,East,31.26800296956197
Kevin Kelly,TB,AL East,R,R,USA,27,RP,AL,East,31.26800296956197
Hunter Bigge,TB,AL East,R,R,USA,27,RP,AL,East,31.26800296956197
Kade Strowd,BAL,AL East,R,R,USA,27,RP,AL,East,31.27542687453599
Colin Selby,BAL,AL East,R,R,USA,27,RP,AL,East,31.27542687453599
Drey Jameson,AZ,NL West,R,R,USA,27,RP,NL,West,31.288789903489214
Carson Seymour,SF,NL West,R,R,USA,26,RP,NL,West,31.314031180400878
Matt Sauer,LAD,NL West,R,R,USA,26,RP,NL,West,31.325909428359292
Ben Casparius,LAD,NL West,R,R,USA,26,RP,NL,West,31.325909428359292
Jack Dreyer,LAD,NL West,R,L,USA,26,RP,NL,West,31.34075723830731
Mason Miller,SD,NL West,R,R,USA,26,RP,NL,West,31.364513734224186
Hunter Stratton,ATL,NL East,R,R,USA,28,RP,NL,East,31.70898292501854
Bryan King,HOU,AL West,R,L,USA,28,RP,AL,West,31.738678544914585
Hogan Harris,ATH,AL West,R,L,USA,28,RP,AL,West,31.7446176688938
Justin Sterner,ATH,AL West,R,R,USA,28,RP,AL,West,31.749072011878223
Ty Adcock,NYM,NL East,R,R,USA,28,RP,NL,East,31.762435040831456
Alex Carrillo,NYM,NL East,R,R,USA,28,RP,NL,East,31.762435040831456
Justin Hagenman,NYM,NL East,R,R,USA,28,RP,NL,East,31.762435040831456
Max Kranick,NYM,NL East,R,R,USA,28,RP,NL,East,31.762435040831456
Casey Legumina,SEA,AL West,R,R,USA,28,RP,AL,West,31.82182628062358
Jackson Kowar,SEA,AL West,R,R,USA,28,RP,AL,West,31.82182628062358
Jonathan Bowlan,KC,AL Central,R,R,USA,28,RP,AL,Central,31.860430586488473
Braydon Fisher,TOR,AL East,R,R,USA,25,RP,AL,East,31.861915367483277
Cole Sands,MIN,AL Central,R,R,USA,28,RP,AL,Central,31.93466963622864
Noah Davis,MIN,AL Central,R,R,USA,28,RP,AL,Central,31.93466963622864
Cole Winn,TEX,AL West,R,R,USA,25,RP,AL,West,31.942093541202656
Nic Enright,CLE,AL Central,R,R,USA,28,RP,AL,Central,32.0059391239792
Sam Bachman,LAA,AL West,R,R,USA,25,RP,AL,West,32.04305864884928
Jack Perkins,ATH,AL West,R,R,USA,25,RP,AL,West,32.04751299183369
Grant Holman,ATH,AL West,R,R,USA,25,RP,AL,West,32.04751299183369
Craig Yoho,MIL,NL Central,R,R,USA,25,RP,NL,Central,32.08314773570898
Andre Granillo,STL,NL Central,R,R,USA,25,RP,NL,Central,32.097995545657014
Gordon Graceffo,STL,NL Central,R,R,USA,25,RP,NL,Central,32.097995545657014
Dylan Smith,DET,AL Central,R,R,USA,25,RP,AL,Central,32.16778025241277
Tony Santillan,CIN,NL Central,R,R,USA,28,RP,NL,Central,32.175204157386794
Ethan Roberts,CHC,NL Central,R,R,USA,28,RP,NL,Central,32.20341499628805
Nate Pearson,CHC,NL Central,R,R,USA,28,RP,NL,Central,32.20341499628805
Sean Hjelle,SF,NL West,R,R,USA,28,RP,NL,West,32.23311061618413
Mason Black,SF,NL West,R,R,USA,25,RP,NL,West,32.24795842613214
Ryan Rolison,COL,NL West,R,L,USA,28,RP,NL,West,32.249443207126966
Jaden Hill,COL,NL West,R,R,USA,25,RP,NL,West,32.259836674090565
Victor Vodnik,COL,NL West,R,R,USA,25,RP,NL,West,32.259836674090565
Seth Halvorsen,COL,NL West,R,R,USA,25,RP,NL,West,32.259836674090565
Chris Roycroft,STL,NL Central,R,R,USA,28,RP,NL,Central,32.259836674090586
Will Klein,LAD,NL West,R,R,USA,25,RP,NL,West,32.26726057906458
Paul Gervase,LAD,NL West,R,R,USA,25,RP,NL,West,32.26726057906458
